,relation,pipeline,term_1_umls_name,term_2_umls_name,term_1_umls_synonyms,term_2_umls_synonyms,sentence,evidence_count,is_correct,is_food_entity_correct
636,cause,foodis,acid fatty trans,coronary heart disease,"acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids",coronary heart disease,Current scientific evidence indicates that consumption of industrial trans fatty acids (TFA) produced via partial hydrogenation of vegetable oils increases the risk of coronary heart disease.___Some data indicate that consumption of trans fatty acids increases the risk of coronary heart disease (CHD).___High consumption of trans fat has been linked to the risk of coronary heart disease (CHD).,3,1,
637,cause,foodis,acid fatty trans,obesity,"acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids",obesity,"Saturated and trans fatty acids have been implicated in obesity, heart disease, diabetes and cancer while polyunsaturated fatty acids (PUFAs) generally have a positive effect on health.",1,1,
638,cause,foodis,"acid, saturated fatty",3-00 cardiovascular disorders: general terms,"acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system","Although livestock products are a source of some essential nutrients, they provide large amounts of saturated fat, which is a known risk factor for cardiovascular disease.",1,1,
639,cause,foodis,"acid, saturated fatty",3-10 heart diseases: general terms,"acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem","It is also a source of saturated fatty acids, which observational evidence suggests are associated with heart disease, although recent data challenge this.___Meat consumption has been related to a higher risk of heart disease due to its saturated fat content.___"" What we actually know is that: red meat consumption is an order of magnitude higher now than through most of human history; red meat is a probable, and processed meat is a definite, human carcinogen; saturated fat increases risk of heart disease; and vegans and vegetarians have better lipid profiles, lower risk of chronic disease, and greater longevity than meat eaters.",3,1,
640,cause,foodis,"acid, saturated fatty",angiopathy,"acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","angiopathy;angiopathy, nos;blood vessel disease;blood vessel disorder;blood vessels; disorder;blood-vessels--diseases;disease (or disorder); blood vessels;disease (or disorder); vascular;disease, vascular;diseases, vascular;disorder of blood vessel;disorder of blood vessel (disorder);disorder vascular;disorder; vascular;section 3-8 vascular diseases;unspecified vascular problem;vasc;vascular (extracardiac) disorders;vascular dis;vascular disease;vascular disease (disorder);vascular disease or syndrome;vascular disease, nos;vascular diseases;vascular diseases and syndromes;vascular disorder;vascular disorder nos;vascular disorder, nos;vascular disorders;vascular problem;vascular problem, nos;vascular system disorders;vascular system disorders (diagnosis);vascular; disorder;vascular_nos;vascular_nos problem;vasculopathy","Elevated serum cholesterol, a major cause of vascular disease, has been strongly correlated with eating greater than normal amounts of cholesterol and saturated fatty acids.",1,1,
641,cause,foodis,"acid, saturated fatty","arterioscleroses, coronary","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","arterioscleroses, coronary;arteriosclerosis coronary artery;arteriosclerosis, coronary;arteriosclerosis; coronary;arteriosclerosis; coronary (artery);arteriosclerosis; heart;arteriosclerotic coronary artery disease;arteriosclerotic heart disease;ashd;ashd - atherosclerotic heart disease;atheroscleroses, coronary;atherosclerosis coronary artery;atherosclerosis of coronary artery;atherosclerosis of coronary artery (diagnosis);atherosclerosis of coronary artery (disorder);atherosclerosis of native coronary artery;atherosclerosis, coronary;atherosclerotic coronary vascular disease;atherosclerotic heart disease;atherosclerotic heart disease nos;cardiac sclerosis;cardiac; sclerosis;coronary (artery) atherosclerosis;coronary (artery) sclerosis;coronary arterioscleroses;coronary arteriosclerosis;coronary arteriosclerosis (diagnosis);coronary arteriosclerosis (disorder);coronary artery arteriosclerosis;coronary artery atherosclerosis;coronary artery sclerosis;coronary atheroscleroses;coronary atherosclerosis;coronary atherosclerosis (disorder);coronary atherosclerotic heart disease;coronary sclerosis;coronary; arteriosclerosis;coronary; sclerosis;disease (or disorder); arteriosclerotic, coronary (artery);disease (or disorder); arteriosclerotic, heart;disease;atherosclerotic;heart;heart; arteriosclerosis;obsolete coronary atherosclerosis;plaque build-up in arteries supplying blood to heart;sclerosis; cardiac;sclerosis; coronary","Similarly, dietary saturated fat has been implicated in the development of coronary atherosclerosis while polyunsaturated fatty acids are reported to provide protection.",1,1,
642,cause,foodis,"acid, saturated fatty",coronary heart disease,"acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids",coronary heart disease,"Saturated fatty acids and trans fats are associated with an increased risk of coronary heart disease.___It has been thought, particularly by consumers, that dairy fats may increase the risk of coronary heart disease because of the contribution they make to total saturated fat intake.",2,1,
643,cause,foodis,"acid, saturated fatty",dysfunction endothelial,"acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids",dysfunction endothelial;dysfunctions endothelial;endothelial dysfunction,"Cardiovascular risk factors are known to exacerbate high-saturated fatty acid meal (HSFAM)-induced endothelial dysfunction, but the influence of subclinical metabolic dysregulations and the acute impact of a single mixed Mediterranean-type meal (MMM) remains unknown.",1,1,
644,cause,foodis,babies milk,inflamm,babies milk;baby milk;baby milk (substance);based formulas milk;based milk formula;formula milk;formula milk (substance);formulas milk;infant milk;infants milk;milk baby;milk based formula;milk based formulas;milk formula;milk infant,"inflamm;inflammation;inflammation (morphologic abnormality);inflammation (qualifier value);inflammation nos;inflammation, nos;inflammations;inflammatory reaction;inflammatory reaction, nos","Formulated according to the nutritional requirements of the newborn as a substitute for mother's milk, formula milk is a rich source of primary adducts, such as carboxy-methyl lysine, which render an infant prone to inflammation, dementia, food allergies, and other diseases.",1,0,
645,cause,foodis,bacca,parasitic disease,"bacca;berries;berry (substance);berry, nos",parasitic disease;parasitic infection;parasitic infectious disease,We describe outbreaks of parasitic disease associated with consumption of berries - so far only described for,1,1,
646,cause,foodis,bean,flatulence,bean;bean (substance);beans;beans (food),flatulence,Many consumers avoid eating beans because they believe legume consumption will cause excessive intestinal gas or flatulence.,1,,
647,cause,foodis,bean pea and lentil,flatulence,bean pea and lentil;beans peas and lentils;legume;legumes;pulse vegetable;pulse vegetable (substance);pulse vegetables;pulse vegetables (substance),flatulence,Many consumers avoid eating beans because they believe legume consumption will cause excessive intestinal gas or flatulence.,1,,
648,cause,foodis,"bean, soy",coronary heart disease,"bean, soy;beans, soy;glycine max;soy;soy bean;soy beans;soya;soya bean;soya bean (substance);soyabean;soybean;soybeans",coronary heart disease,"Soy protein consumption has been linked to reduction in hypercholesterolemia, a risk for coronary heart disease.",1,0,
649,cause,foodis,"bean, soy",heart failure,"bean, soy;beans, soy;glycine max;soy;soy bean;soy beans;soya;soya bean;soya bean (substance);soyabean;soybean;soybeans",heart failure,"On a soy diet, males with a mutation in the alpha-myosin heavy chain gene progress to dilation and heart failure.",1,,
650,cause,foodis,"bean, soy",obesity,"bean, soy;beans, soy;glycine max;soy;soy bean;soy beans;soya;soya bean;soya bean (substance);soyabean;soybean;soybeans",obesity,"Soybean beta-conglycinin, which is a component of SPI, might be the active ingredient that prevents and/or ameliorates lifestyle-related diseases, such as hyperlipidemia and obesity.",1,,
651,cause,foodis,beef,respiratory disease,beef;beef (dietary);beef (substance),respiratory disease;respiratory disorder;respiratory system disease;respiratory system diseases;respiratory system disorder;respiratory system disorders,"Beef and dairy cows with insufficient nutrient intake during gestation produce calves with reduced immunity against diseases, such as scours, respiratory disease, and mastitis.",1,,
652,cause,foodis,beverage,atrial fibrillation,beverage;beverage type;beverages,atrial fibrillation,A 55 year old man had atrial fibrillation initiated by drinking ice cold beverages; this has not been described previously although atrial tachycardia triggered by drinking ice cold beverages has been described once.,1,,
653,cause,foodis,beverage,atrial tachycardia,beverage;beverage type;beverages,atrial tachycardia,A 55 year old man had atrial fibrillation initiated by drinking ice cold beverages; this has not been described previously although atrial tachycardia triggered by drinking ice cold beverages has been described once.,1,,
654,cause,foodis,beverage,obesity,beverage;beverage type;beverages,obesity,"Causes of obesity include the wide availability of unhealthy foods, increased consumption, changing eating habits, high-calorie beverages, advertising and lack of physical activity.___Healthcare providers have attributed childhood obesity to the consumption of HFCS in the form of beverages.",2,,
655,cause,foodis,"beverage, sweetened",adult onset diabetes,"beverage, sweetened;beverages, sweetened;sweetened beverage;sweetened beverages","adult onset diabetes;adult onset diabetes mellitus;adult-onset diabetes;adult-onset diabetes mellitus;adult-onset; diabetes;aodm;diabete type 2;diabetes mellitus (adult onset);diabetes mellitus (niddm);diabetes mellitus - adult ons;diabetes mellitus - adult onset;diabetes mellitus -adult onset;diabetes mellitus maturity onset;diabetes mellitus non insulin dependent;diabetes mellitus non insulin-dep;diabetes mellitus non-insulin-dependent;diabetes mellitus nos late onset;diabetes mellitus type 02;diabetes mellitus type 2;diabetes mellitus type 2 (disorder);diabetes mellitus type ii;diabetes mellitus, adult onset;diabetes mellitus, adult onset type;diabetes mellitus, adult-onset;diabetes mellitus, ketosis resistant;diabetes mellitus, ketosis-resistant;diabetes mellitus, maturity onset;diabetes mellitus, maturity-onset;diabetes mellitus, non insulin dependent;diabetes mellitus, non-insulin dependent;diabetes mellitus, non-insulin-dependent;diabetes mellitus, noninsulin dependent;diabetes mellitus, noninsulin-dependent;diabetes mellitus, slow onset;diabetes mellitus, slow-onset;diabetes mellitus, stable;diabetes mellitus, type 2;diabetes mellitus, type ii;diabetes mellitus: [adult onset] or [noninsulin dependent];diabetes mellitus: [adult onset] or [noninsulin dependent] (disorder);diabetes non-insulin dependent;diabetes type 2;diabetes type ii;diabetes, adult onset;diabetes, ketosis resistant;diabetes, maturity onset;diabetes, maturity-onset;diabetes, type 2;diabetes, type ii;diabetes; adult-onset;diabetes; maturity-onset;diabetes; niddm;diabetes; non-insulin-dependent;diabetes; nonketotic;diabetes; type ii;diabetes;adult onset;diabetes;non insulin depend;diabetes;type 2;ketosis resistant diabetes;ketosis-resistant diabetes mellitus;late onset diabetes;maturity onset diabetes;maturity onset diabetes mellit;maturity onset diabetes mellitus;maturity-onset diabetes;maturity-onset diabetes mellitus;maturity-onset; diabetes;mod;ncdmm;niddm;niddm - non-insulin dependent diabetes mellitus;niddm diabetes mellitus;niddm-non-ins dep diabetes mel;niddm; diabetes;non insulin dependent diabetes;non-ins-dep diabetes mellitus;non-insulin dependent diabetes;non-insulin dependent diabetes mellitus;non-insulin-dependent diabetes;non-insulin-dependent diabetes mellitus;non-insulin-dependent; diabetes;noninsulin dependent diab.mell;noninsulin dependent diabetes;noninsulin dependent diabetes mellitus;noninsulin-dependent diabetes;noninsulin-dependent diabetes mellitus;nonketotic; diabetes;slow-onset diabetes mellitus;stable diabetes mellitus;t2dm - type 2 diabetes mellitus;type 2 diabetes;type 2 diabetes mellitus;type 2 diabetes mellitus (diagnosis);type 2 diabetes mellitus non-insulin dependent;type ii diabetes;type ii diabetes mellitus;type ii diabetes mellitus (disorder);type ii; diabetes",Previous studies have linked full-calorie sugar-sweetened beverages (SSBs) with greater weight gain and an increased risk of type 2 diabetes.,1,,
656,cause,foodis,"beverage, sweetened",chronic dis,"beverage, sweetened;beverages, sweetened;sweetened beverage;sweetened beverages","chronic dis;chronic disease;chronic disease (disorder);chronic disease, nos;chronic disease/disorder;chronic diseases;chronic disorder;chronic disorders;chronic illnesses;disease, chronic;diseases, chronic;illness, chronic;illnesses, chronic",Sugar-sweetened beverages (SSBs) increase chronic disease risk.,1,,
657,cause,foodis,"beverage, sweetened",obesity,"beverage, sweetened;beverages, sweetened;sweetened beverage;sweetened beverages",obesity,"The consumption of sugar-sweetened beverages has been linked to rising rates of obesity, which in turn is a risk factor for development of T2DM.",1,,
658,cause,foodis,"beverage, sweetened",weight gain,"beverage, sweetened;beverages, sweetened;sweetened beverage;sweetened beverages",weight gain,Previous studies have linked full-calorie sugar-sweetened beverages (SSBs) with greater weight gain and an increased risk of type 2 diabetes.,1,,
659,cause,foodis,bird flesh,(cholera) or (vibrio cholerae),bird flesh;fowl;fowl (dietary),"(cholera) or (vibrio cholerae);(cholera) or (vibrio cholerae) (disorder);[x]cholera, unspecified;[x]cholera, unspecified (disorder);asiatic cholera;cholera;cholera (diagnosis);cholera (disorder);cholera - o1 group v cholerae;cholera - o1 group vibrio cholerae;cholera - vibrio cholerae;cholera - vibrio cholerae (disorder);cholera d/t vib cholerae;cholera due to vibrio cholerae;cholera due to vibrio cholerae (diagnosis);cholera due to vibrio cholerae (disorder);cholera nos;cholera nos (disorder);cholera, nos;cholera, unspecified;cholera; classical;choleras;classical cholera;classical; cholera;e-116 cholera;epidemic cholera;infection, vibrio cholerae;infections, vibrio cholerae;unspecified cholera;vibrio cholera gastroenteritis;vibrio cholera infection;vibrio cholerae;vibrio cholerae 01; cholera;vibrio cholerae gastroenteritis;vibrio cholerae infection;vibrio cholerae infections","Pasteurella multocida, an important gram-negative pathogen that mainly inhibits the upper respiratory tracts of domestic and wild animals such as chicken, duck, cattle and pig, which can cause cholera fowl, haemorrhagic septicaemia and infectious pneumonia.",1,,
660,cause,foodis,bird flesh,haemorrhagic septicaemia,bird flesh;fowl;fowl (dietary),"haemorrhagic septicaemia;haemorrhagic septicemia;hemorrhagic septicaemia;hemorrhagic septicemia;septicemia, hemorrhagic","Pasteurella multocida, an important gram-negative pathogen that mainly inhibits the upper respiratory tracts of domestic and wild animals such as chicken, duck, cattle and pig, which can cause cholera fowl, haemorrhagic septicaemia and infectious pneumonia.",1,,
661,cause,foodis,caffeinated soda,3-00 cardiovascular disorders: general terms,caffeinated soda;caffeinated soft drink;caffeinated soft drinks;caffeinated soft drinks (substance);soda;sodas;soft drinks containing caffeine,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",Soda intake is associated with an increased risk of cardiovascular disease.,1,,
662,cause,foodis,calorie foods high,adiposity,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),"adiposity;having too much body fat;obese;obese (finding);obesities;obesity (diagnosis);obesity (disorder);obesity [ambiguous];obesity nos;obesity, nos;obesity, unspecified","As people in both developed and developing countries eat more and more energy dense food, and have ever less physical activity, the number of overweight and obese people increases to epidemic proportions.",1,,
663,cause,foodis,calorie foods high,atherosclerosis,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),atherosclerosis,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",1,,
664,cause,foodis,calorie foods high,body fails to respond to insulin,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),"body fails to respond to insulin;drug resistance to insulin;drug resistance to insulin (disorder);insulin resistance;insulin resistance (diagnosis);insulin resistance (disorder);resistance, insulin","Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",1,,
665,cause,foodis,calorie foods high,clinical overweight,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),clinical overweight;over weight;overweight;overweight (bmi 25-30);overweight (bmi <30);overweight (bmi<30);overweight (diagnosis);overweight (finding);overweight (physical finding);patient overweight,"As people in both developed and developing countries eat more and more energy dense food, and have ever less physical activity, the number of overweight and obese people increases to epidemic proportions.",1,,
666,cause,foodis,calorie foods high,diabetes,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),diabetes,"Due to the consumption of energy dense food (i.e. unhealthy food habits), sedentary life style, lack of health care services and financial support, the developing countries are facing high risk of obesity and their adverse consequences (i.e. diabetes, ischemic heart disease, etc).",1,,
667,cause,foodis,calorie foods high,dyslipidaemia,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),dyslipidaemia;dyslipidemia;dyslipidemia (diagnosis);dyslipidemia (disorder);dyslipidemias;high blood cholesterol/triglycerides,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",1,,
668,cause,foodis,calorie foods high,hypertension,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),hypertension,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",1,,
669,cause,foodis,calorie foods high,ischemic heart disease,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),ischemic heart disease,"Due to the consumption of energy dense food (i.e. unhealthy food habits), sedentary life style, lack of health care services and financial support, the developing countries are facing high risk of obesity and their adverse consequences (i.e. diabetes, ischemic heart disease, etc).",1,,
670,cause,foodis,calorie foods high,obesity,calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),obesity,"Due to the consumption of energy dense food (i.e. unhealthy food habits), sedentary life style, lack of health care services and financial support, the developing countries are facing high risk of obesity and their adverse consequences (i.e. diabetes, ischemic heart disease, etc).",1,,
671,cause,foodis,cassava,"lower extremity weakness, spastic",cassava;cassava (food);cassava (substance);cassava - dietary,"lower extremity weakness, spastic;parapareses, spastic;paraparesis spastic;paraparesis, spastic;spastic lower extremity weakness;spastic parapareses;spastic paraparesis;spastic paraparesis (diagnosis);spastic paraparesis (disorder);spastic paraparesis (finding)","Toxin ingestion (eg, from poorly processed cassava) can cause neurodisability including a peripheral polyneuropathy and a spastic paraparesis.",1,1,
672,cause,foodis,cassava,neurodisability,cassava;cassava (food);cassava (substance);cassava - dietary,neurodisability;neurodisability (finding),"Toxin ingestion (eg, from poorly processed cassava) can cause neurodisability including a peripheral polyneuropathy and a spastic paraparesis.",1,1,
673,cause,foodis,cassava,peripheral polyneuropathy,cassava;cassava (food);cassava (substance);cassava - dietary,peripheral polyneuropathy,"Toxin ingestion (eg, from poorly processed cassava) can cause neurodisability including a peripheral polyneuropathy and a spastic paraparesis.",1,1,
674,cause,foodis,cereal,atherogenic dyslipidaemia,"cereal;cereal (substance);cereal grain;cereal grains;cereals;grain;grain, cereal;grains, cereal",atherogenic dyslipidaemia;atherogenic dyslipidemia,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.",1,0,
675,cause,foodis,cereal,enteropathy,"cereal;cereal (substance);cereal grain;cereal grains;cereals;grain;grain, cereal;grains, cereal",enteropathy,Celiac disease (CD) is an immune-mediated enteropathy triggered by the ingestion of cereal gluten proteins.,1,1,
676,cause,foodis,cereal,obesity,"cereal;cereal (substance);cereal grain;cereal grains;cereals;grain;grain, cereal;grains, cereal",obesity,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.",1,,
677,cause,foodis,cheese,422 sweating,cheese,"422 sweating;hidropoiesis;hidrosis;perspiration;perspiration, nos;perspired;perspiring;sweat;sweating;sweating (finding);sweating observable;sweating observable (observable entity);sweating symptom;sweating symptom (finding);sweating symptom nos;sweating symptom nos (finding);sweating symptoms;sweating, function;sweating, function (observable entity);sweating, nos;sweats;sweats (qualifier value);sweats, function (observable entity)","The sweating, which was sometimes very severe, was produced by many foodstuffs, cheese being the most powerful stimulus.",1,,
678,cause,foodis,cheese,hypertensive,cheese,hypertensive;hypertensive (finding);with high blood pressure,"Monoamine oxidase inhibitors (MAOIs) are known to cause hypertensive crisis when combined with intake of tyramine, classically found in cheese.",1,,
679,cause,foodis,cheese,myocardial infarction,cheese,myocardial infarction,"However, a review of the available medical literature found no previous reports of myocardial infarction resulting from the ingestion of cheese by a patient taking a MAOI.",1,,
680,cause,foodis,chew gum,atrial fibrillation,"chew gum;chewing gum;chewing gum (food);chewing gums;gum chewing;gum, chewing;gums, chewing",atrial fibrillation,The temporal relation between more frequent gum usage and the excessive consumption of nicotine polacrilex chewing gum with a probable high serum nicotine level at the time the patient developed his first episode of atrial fibrillation suggests a causal relationship.,1,,
681,cause,foodis,chicken,(cholera) or (vibrio cholerae),chicken,"(cholera) or (vibrio cholerae);(cholera) or (vibrio cholerae) (disorder);[x]cholera, unspecified;[x]cholera, unspecified (disorder);asiatic cholera;cholera;cholera (diagnosis);cholera (disorder);cholera - o1 group v cholerae;cholera - o1 group vibrio cholerae;cholera - vibrio cholerae;cholera - vibrio cholerae (disorder);cholera d/t vib cholerae;cholera due to vibrio cholerae;cholera due to vibrio cholerae (diagnosis);cholera due to vibrio cholerae (disorder);cholera nos;cholera nos (disorder);cholera, nos;cholera, unspecified;cholera; classical;choleras;classical cholera;classical; cholera;e-116 cholera;epidemic cholera;infection, vibrio cholerae;infections, vibrio cholerae;unspecified cholera;vibrio cholera gastroenteritis;vibrio cholera infection;vibrio cholerae;vibrio cholerae 01; cholera;vibrio cholerae gastroenteritis;vibrio cholerae infection;vibrio cholerae infections","Pasteurella multocida, an important gram-negative pathogen that mainly inhibits the upper respiratory tracts of domestic and wild animals such as chicken, duck, cattle and pig, which can cause cholera fowl, haemorrhagic septicaemia and infectious pneumonia.",1,,
682,cause,foodis,chicken,[d]loss of consciousness,chicken,"[d]loss of consciousness;[d]unconsciousness;[d]unconsciousness (context-dependent category);[d]unconsciousness (situation);consciousness awaking loss;consciousness loss;consciousness loss of;consciousness, loss of;loc;loc - loss of consciousness;loss (of);consciousness;loss of consciousness;loss of consciousness (finding);loss of consciousness, nos;loss of consiousness;lost consciousness;mental status, unconsciousness;state, unconscious;unconscious;unconscious (finding);unconscious state;unconscious states;unconscious(ness);unconsciousness;unconsciousness nos","From a welfare point of view, electrical stunning should induce immediate and lasting unconsciousness in the chicken.",1,,
683,cause,foodis,chicken,haemorrhagic septicaemia,chicken,"haemorrhagic septicaemia;haemorrhagic septicemia;hemorrhagic septicaemia;hemorrhagic septicemia;septicemia, hemorrhagic","Pasteurella multocida, an important gram-negative pathogen that mainly inhibits the upper respiratory tracts of domestic and wild animals such as chicken, duck, cattle and pig, which can cause cholera fowl, haemorrhagic septicaemia and infectious pneumonia.",1,,
684,cause,foodis,chicken,infection,chicken,infection,The mode of infection was thought to be blood borne through the open tooth socket from the raw chicken that he ate regularly.,1,,
685,cause,foodis,chicken - meat,[d]hypoxaemia,chicken - meat;chicken - meat (substance);chicken meat;chickens,[d]hypoxaemia;[d]hypoxemia;[d]hypoxemia (context-dependent category);[d]hypoxemia (situation);arterial hypoxaemia;arterial hypoxemia;blood oxygen decreased;blood oxygen level below normal;hypoxaemia;hypoxemia;hypoxemia (diagnosis);hypoxemia (disorder);hypoxemia (finding);hypoxemias;low blood oxygen level;o2 saturation decreased,"In view of the evidence presented, it appears that hypoxaemia and tissue hypoxia in broiler chickens may be a result of circulatory insufficiency associated with progressive bradycardia rather than, as commonly believed, pulmonary insufficiency.",1,0,0
686,cause,foodis,chicken - meat,ascites,chicken - meat;chicken - meat (substance);chicken meat;chickens,ascites,We conclude that increasing dietary bicarbonate and reducing dietary chloride has potential as a low cost and effective method to reduce the pulmonary hypertension which leads to ascites in broiler chickens.,1,0,0
