,term_2_umls_synonyms,term_1_umls_name,is correct,pipeline,relation,term_2_umls_name,evidence_count,sentence,term_1_umls_synonyms
109,weight gain,carbohydrates,1.0,chemdis,cause,weight gain,1,"On the other hand, refeeding carbohydrates causes water retention and weight gain.",carbohydrates
110,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",catecholamine,1.0,chemdis,cause,general cardiovascular disorders,1,"Individuals who smoke experience a wide range of physiologic side effects that increase the risk of cardiovascular disease (CVD), including insulin resistance, elevated catecholamine levels which contribute to an elevated heart rate and blood pressure, and hypercholesterolemia.",catecholamine
111,"abnormal heart rhythms;arrhythmia (cardiac) nos;arrhythmia (finding);arrhythmia (nos);arrhythmia cardiac (nos);arrhythmia nos;arrhythmia, cardiac;arrhythmia, nos;arrhythmias;arrhythmias (heart);arrhythmias, cardiac;arrythmia;cardiac arrhythmia (disorder);cardiac arrhythmia (nos);cardiac arrhythmia nos;cardiac arrhythmia, irregular pulse;cardiac arrhythmia, nos;cardiac arrhythmia, unspecified;cardiac arrhythmias;cardiac dysrhythmia (disorder);cardiac dysrhythmia nos;cardiac dysrhythmia nos (disorder);cardiac dysrhythmia, nos;cardiac dysrhythmia, unspecified;cardiac dysrhythmias nos;cardiac rhythm disorder (diagnosis);cardiac rhythm disturbance;cardiac rhythm disturbances;cardiac rhythm irregular;cardiac rhythm, abnormal;cardiac; dysrhythmia;disorder of heart rhythm;disorder; rhythm, heart;disturbance; rhythm, heart;dysrhythmia;dysrhythmia(s);dysrhythmia, cardiac;dysrhythmia; cardiac;dysrhythmia;cardiac;dysrhythmias;ectopic beats all types;heart arrhythmia;heart arrhythmias;heart rhythm disorders;heart: rhythm;rhythm, heart; abnormal;rhythm; abnormal;rhythm; disorder",catecholamine,1.0,chemdis,cause,abnormal heart rhythms,1,"Since excessive amounts of catecholamines are known to produce arrhythmias and increase the plasma level of aminochrome, an oxidation product of catecholamines, we tested the hypothesis that antioxidants may reduce the formation of aminochrome and prevent the catecholamine-induced arrhythmias.",catecholamine
112,"body fails to respond to insulin;drug resistance to insulin;drug resistance to insulin (disorder);insulin resistance;insulin resistance (diagnosis);insulin resistance (disorder);resistance, insulin",catecholamine,0.0,chemdis,cause,body fails to respond to insulin,1,"Individuals who smoke experience a wide range of physiologic side effects that increase the risk of cardiovascular disease (CVD), including insulin resistance, elevated catecholamine levels which contribute to an elevated heart rate and blood pressure, and hypercholesterolemia.",catecholamine
113,high cholesterol;high cholesterol level;hypercholesterolemia,catecholamine,1.0,chemdis,cause,high cholesterol,1,"Individuals who smoke experience a wide range of physiologic side effects that increase the risk of cardiovascular disease (CVD), including insulin resistance, elevated catecholamine levels which contribute to an elevated heart rate and blood pressure, and hypercholesterolemia.",catecholamine
114,"abnormal heart rhythms;arrhythmia (cardiac) nos;arrhythmia (finding);arrhythmia (nos);arrhythmia cardiac (nos);arrhythmia nos;arrhythmia, cardiac;arrhythmia, nos;arrhythmias;arrhythmias (heart);arrhythmias, cardiac;arrythmia;cardiac arrhythmia (disorder);cardiac arrhythmia (nos);cardiac arrhythmia nos;cardiac arrhythmia, irregular pulse;cardiac arrhythmia, nos;cardiac arrhythmia, unspecified;cardiac arrhythmias;cardiac dysrhythmia (disorder);cardiac dysrhythmia nos;cardiac dysrhythmia nos (disorder);cardiac dysrhythmia, nos;cardiac dysrhythmia, unspecified;cardiac dysrhythmias nos;cardiac rhythm disorder (diagnosis);cardiac rhythm disturbance;cardiac rhythm disturbances;cardiac rhythm irregular;cardiac rhythm, abnormal;cardiac; dysrhythmia;disorder of heart rhythm;disorder; rhythm, heart;disturbance; rhythm, heart;dysrhythmia;dysrhythmia(s);dysrhythmia, cardiac;dysrhythmia; cardiac;dysrhythmia;cardiac;dysrhythmias;ectopic beats all types;heart arrhythmia;heart arrhythmias;heart rhythm disorders;heart: rhythm;rhythm, heart; abnormal;rhythm; abnormal;rhythm; disorder",catecholamine (substance),1.0,chemdis,cause,abnormal heart rhythms,1,"Since excessive amounts of catecholamines are known to produce arrhythmias and increase the plasma level of aminochrome, an oxidation product of catecholamines, we tested the hypothesis that antioxidants may reduce the formation of aminochrome and prevent the catecholamine-induced arrhythmias.","catecholamine (substance);catecholamine product;catecholamine, nos;catecholamine-containing product;catecholamines;coumel;product containing catecholamine;product containing catecholamine (product);sympathin;sympathins;total catecholamines"
116,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",chloride sodium,1.0,chemdis,cause,3-10 heart diseases: general terms,1,"Sodium chloride is an important ingredient added to most of foods which contributes to flavor enhancement and food preservation but excess intake of sodium chloride may also cause various diseases such as heart diseases, osteoporosis and so on.","chloride sodium;cloruro sódico;common salt;electrolytes sodium chloride;nacl;nacl - sodium chloride;nasal sodium chloride;natriumchlorid;natrum muriaticum;product containing sodium chloride;product containing sodium chloride (medicinal product);product containing sodium chloride in conventional release solution for irrigation (medicinal product form);salt, nos;salted;salting;sodium chloride;sodium chloride (medication);sodium chloride (nacl);sodium chloride (product);sodium chloride (substance);sodium chloride [eye];sodium chloride [eye] (product);sodium chloride [eye] (substance);sodium chloride [mouth];sodium chloride [mouth] (product);sodium chloride [mouth] (substance);sodium chloride [nose];sodium chloride [nose] (product);sodium chloride [nose] (substance);sodium chloride [skin];sodium chloride [skin] (product);sodium chloride [skin] (substance);sodium chloride chemical;sodium chloride chemical (substance);sodium chloride eye;sodium chloride nacl;sodium chloride nose;sodium chloride product;sodium chloride-containing product;sodium chloride-containing product in solution for irrigation"
117,hypertension,chloride sodium,1.0,chemdis,cause,hypertension,1,For decades the notion that an excessive consumption of salt (NaCl) leads to hypertension has persisted.,"chloride sodium;cloruro sódico;common salt;electrolytes sodium chloride;nacl;nacl - sodium chloride;nasal sodium chloride;natriumchlorid;natrum muriaticum;product containing sodium chloride;product containing sodium chloride (medicinal product);product containing sodium chloride in conventional release solution for irrigation (medicinal product form);salt, nos;salted;salting;sodium chloride;sodium chloride (medication);sodium chloride (nacl);sodium chloride (product);sodium chloride (substance);sodium chloride [eye];sodium chloride [eye] (product);sodium chloride [eye] (substance);sodium chloride [mouth];sodium chloride [mouth] (product);sodium chloride [mouth] (substance);sodium chloride [nose];sodium chloride [nose] (product);sodium chloride [nose] (substance);sodium chloride [skin];sodium chloride [skin] (product);sodium chloride [skin] (substance);sodium chloride chemical;sodium chloride chemical (substance);sodium chloride eye;sodium chloride nacl;sodium chloride nose;sodium chloride product;sodium chloride-containing product;sodium chloride-containing product in solution for irrigation"
118,"37 hemorrhages;bleed;bleed_nos;bleed_nos problem;bleeding;bleeding (disorder);bleeding (finding);bleeding (symptom);bleeding -retired-;bleeding hemorrhage;bleeding problem;bleeding site unspecified;bleeding, nos;bleeding/haemorrhage nos;bleeding/hemorrhage nos;bleeds;blood loss of (nos);blood; extravasation;extravasation blood;extravasation of blood;extravasation; blood;haemorrhage;haemorrhage nos;haemorrhage nos (disorder);haemorrhage, nos;haemorrhage, unspecified;haemorrhages;hem;hemorrhage;hemorrhage (diagnosis);hemorrhage (morphologic abnormality);hemorrhage (nos);hemorrhage bleeding;hemorrhage nos;hemorrhage nos (disorder);hemorrhage, nos;hemorrhage, unspecified;hemorrhages",dabigatran etexilate,1.0,chemdis,cause,37 hemorrhages,1,"Acute bleeding episodes are known to occur with dabigatran etexilate therapy; however, only a few case reports in the literature describe such events.","dabigatran etexilate;dabigatran etexilate (substance);etexilate, dabigatran;ethyl 3-(((2-(((4- ((((hexyloxy)carbonyl)amino)iminomethyl)phenyl)amino)methyl)-1-methyl-1h-benzimidazol-5-yl)carbonyl)(pyridin-2- yl)amino)propanoate"
119,stent thrombosis,des,1.0,chemdis,cause,stent thrombosis,1,Patients undergoing transplant surgery soon after the placement of DES are at increased risk of stent thrombosis (ST) in the perioperative period.,des
120,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",estrogen,0.0,chemdis,cause,3-10 heart diseases: general terms,1,"Obesity, from declining estrogen levels after menopause, increases the risk of heart disease, diabetes, and hypertension.",estrogen
121,diabetes,estrogen,0.0,chemdis,cause,diabetes,1,"Obesity, from declining estrogen levels after menopause, increases the risk of heart disease, diabetes, and hypertension.",estrogen
123,osteoporosis,estrogen,0.0,chemdis,cause,osteoporosis,1,Postmenopausal osteoporosis is mostly caused by increased bone remodeling resulting from estrogen deficiency.,estrogen
124,hypoglycemia,estrogens,0.0,chemdis,cause,hypoglycemia,1,"Different mechanisms are suggested to be involved in TC pathogenesis, including low estrogens levels or dyselectrolitemia, but hypoglycemia, which results in sympathetic stimulation, seems to be more important.",estrogens
128,"52-53 vascular scleroses;arterial sclerosis;arterioscleroses;arteriosclerosis;arteriosclerosis (morphologic abnormality);arteriosclerosis nos;arteriosclerosis, nos;arteriosclerosis/atherosclerosis;arteriosclerotic vasc.dis.nos;arteriosclerotic vascular disease;arteriosclerotic vascular disease (diagnosis);arteriosclerotic vascular disease (disorder);arteriosclerotic vascular disease nos;arteriosclerotic vascular disease nos (disorder);arteriosclerotic vascular disease, nos;arteriovascular disease;vascular scleroses;vascular sclerosis;vascular sclerosis (morphologic abnormality)",fatty acid,1.0,chemdis,cause,52-53 vascular scleroses,1,"Coronary heart disease is caused by arteriosclerosis, which is triggered by an unbalanced fatty acid profile in the body.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
130,atherosclerosis,fatty acid,1.0,chemdis,cause,atherosclerosis,1,"Excess free fatty acids may cause the enhancement of lipid synthesis and gluconeogenesis as well as insulin resistance, resulting in hyperlipidemia, glucose intolerance and hypertension and finally atherosclerosis.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
131,"body fails to respond to insulin;drug resistance to insulin;drug resistance to insulin (disorder);insulin resistance;insulin resistance (diagnosis);insulin resistance (disorder);resistance, insulin",fatty acid,1.0,chemdis,cause,body fails to respond to insulin,3,"High glucose/fatty acid toxicity, inflammation, and oxidative stress, all of which are associated with insulin resistance, can activate ERK.___In summary, although it must be emphasized that all diets high in fat cause insulin resistance relative to high-carbohydrate diets, it appears that dietary saturated, short-chain, and w6 fatty acids have the most deleterious effects on insulin action.___Excess free fatty acids may cause the enhancement of lipid synthesis and gluconeogenesis as well as insulin resistance, resulting in hyperlipidemia, glucose intolerance and hypertension and finally atherosclerosis.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
133,dysfunction endothelial;dysfunctions endothelial;endothelial dysfunction,fatty acid,0.0,chemdis,cause,dysfunction endothelial,1,"Sepsis is initiated by the host response to infection with organ damage, increased plasma free fatty acids, high levels of cortisol, massive cytokine production, leukocyte activation, and endothelial dysfunction.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
134,glucose intolerance,fatty acid,1.0,chemdis,cause,glucose intolerance,1,"Excess free fatty acids may cause the enhancement of lipid synthesis and gluconeogenesis as well as insulin resistance, resulting in hyperlipidemia, glucose intolerance and hypertension and finally atherosclerosis.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
135,hyperlipidemia,fatty acid,1.0,chemdis,cause,hyperlipidemia,1,"Excess free fatty acids may cause the enhancement of lipid synthesis and gluconeogenesis as well as insulin resistance, resulting in hyperlipidemia, glucose intolerance and hypertension and finally atherosclerosis.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
136,hypertension,fatty acid,1.0,chemdis,cause,hypertension,1,"Excess free fatty acids may cause the enhancement of lipid synthesis and gluconeogenesis as well as insulin resistance, resulting in hyperlipidemia, glucose intolerance and hypertension and finally atherosclerosis.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
137,hypertrophic cardiomyopathy,fatty acid,1.0,chemdis,cause,hypertrophic cardiomyopathy,1,"Very-long-chain acyl-CoA dehydrogenase (VLCAD) deficiency is a severe defect of mitochondrial fatty acid oxidation characterized by hypertrophic cardiomyopathy, pericardial effusion, steatosis, and hypoglycemia, often resulting in death by 4-5 months of age.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
138,hypoglycemia,fatty acid,1.0,chemdis,cause,hypoglycemia,1,"Very-long-chain acyl-CoA dehydrogenase (VLCAD) deficiency is a severe defect of mitochondrial fatty acid oxidation characterized by hypertrophic cardiomyopathy, pericardial effusion, steatosis, and hypoglycemia, often resulting in death by 4-5 months of age.","fatty acid;fatty acid (substance);fatty acid, nos;fatty acids"
149,"bone demineralized;bone density, low;bone loss;bone; loss;loss; bone;low bone densities;low bone mineral density;osteopaenia;osteopenia;osteopenia (diagnosis);osteopenia (disorder);osteopenia (morphologic abnormality);osteopenias",iron,0.0,chemdis,cause,bone demineralized,1,"The study of archaeological human remains from around the world reveals that this period in human dietary history saw a decline in health, including increased evidence of morbidity (poorer dental health, increased occlusal abnormalities, increased iron deficiency anemia, increased infection and bone loss).",iron
150,cardiac dysfunction,iron,1.0,chemdis,cause,cardiac dysfunction,1,Increased iron deposition in the myocardium in alcoholics may lead to increased risk of cardiac dysfunction.,iron
151,deficiencies micronutrient;deficiency of micronutrients;deficiency of micronutrients (disorder);micronutrient deficiencies;micronutrients deficiency,iron,0.0,chemdis,cause,deficiencies micronutrient,1,"Specific micronutrient deficiencies can also lead to neurodisability, for example, blindness (vitamin A), intractable epilepsy (vitamin B6), and cognitive impairment (iodine and iron).",iron
152,dysfunction thyroid;dysfunction; thyroid;thryoid dysfunction;thyroid dysfunction;thyroid dysfunction (disorder),iron,1.0,chemdis,cause,dysfunction thyroid,1,"Heart failure (HF) is a growing public health issue; its risk factors include inappropriate dietary intake of microelements such as iodine, selenium, zinc and iron, which may lead to thyroid dysfunction.",iron
153,heart failure,iron,0.0,chemdis,cause,heart failure,1,Iron deficiency is prevalent in patients with heart failure.,iron
154,amyotrophy;muscle atrophy;muscle wasting;muscular atrophy,l-thyroxine sodium preparation,1.0,chemdis,cause,amyotrophy,1,"The major risk of levothyroxine sodium therapy is over-replacement, with anxiety, muscle wasting, osteoporosis and atrial fibrillation as adverse effects.",l-thyroxine sodium preparation;laevothyroxine sodium;laevothyroxine sodium preparation;levothyroxine sodium;levothyroxine sodium (medication);levothyroxine sodium (substance);levothyroxine sodium preparation;levothyroxine sodium preparation (product);levothyroxine sodium preparation (substance);product containing levothyroxine sodium;product containing levothyroxine sodium (medicinal product);sodium levothyroxine;sodium thyroxine;t4 thyroxine sodium preparation;t<sub>4</sub> thyroxine sodium preparation;t>4< thyroxine sodium preparation;therapeutic levothyroxine;thyroxine sodium;thyroxine sodium (product);thyroxine sodium (substance)
155,anxiety,l-thyroxine sodium preparation,1.0,chemdis,cause,anxiety,1,"The major risk of levothyroxine sodium therapy is over-replacement, with anxiety, muscle wasting, osteoporosis and atrial fibrillation as adverse effects.",l-thyroxine sodium preparation;laevothyroxine sodium;laevothyroxine sodium preparation;levothyroxine sodium;levothyroxine sodium (medication);levothyroxine sodium (substance);levothyroxine sodium preparation;levothyroxine sodium preparation (product);levothyroxine sodium preparation (substance);product containing levothyroxine sodium;product containing levothyroxine sodium (medicinal product);sodium levothyroxine;sodium thyroxine;t4 thyroxine sodium preparation;t<sub>4</sub> thyroxine sodium preparation;t>4< thyroxine sodium preparation;therapeutic levothyroxine;thyroxine sodium;thyroxine sodium (product);thyroxine sodium (substance)
156,atrial fibrillation,l-thyroxine sodium preparation,1.0,chemdis,cause,atrial fibrillation,1,"The major risk of levothyroxine sodium therapy is over-replacement, with anxiety, muscle wasting, osteoporosis and atrial fibrillation as adverse effects.",l-thyroxine sodium preparation;laevothyroxine sodium;laevothyroxine sodium preparation;levothyroxine sodium;levothyroxine sodium (medication);levothyroxine sodium (substance);levothyroxine sodium preparation;levothyroxine sodium preparation (product);levothyroxine sodium preparation (substance);product containing levothyroxine sodium;product containing levothyroxine sodium (medicinal product);sodium levothyroxine;sodium thyroxine;t4 thyroxine sodium preparation;t<sub>4</sub> thyroxine sodium preparation;t>4< thyroxine sodium preparation;therapeutic levothyroxine;thyroxine sodium;thyroxine sodium (product);thyroxine sodium (substance)
158,"diabete mellitus;diabetes (dm);diabetes mellitus;diabetes mellitus (diagnosis);diabetes mellitus (disorder);diabetes mellitus (dm);diabetes mellitus (e08-e13);diabetes mellitus nos;diabetes mellitus nos diagnosed;diabetes mellitus, nos;disorder diabetes mellitus;dm - diabetes mellitus;unspecified diabetes mellitus",magnesium,0.0,chemdis,cause,diabete mellitus,1,"Among subjects with low magnesium status, there was a higher prevalence of hypertension, hypercholesterolemia and diabetes mellitus showing a significant increasing trend with decrease in magnesium status.",magnesium
159,"disease of kidney;disease, kidney;diseases kidneys;diseases, kidney;disorder kidney;disorder of kidney;disorder renal;disorder;kidney;kidney dis;kidney disease;kidney disease (disorder);kidney disease nos;kidney disease nos (disorder);kidney disease, nos;kidney diseases;kidney disorder;kidney disorders;kidneys--diseases;nephrologic disease;nephropathies;nephropathy;nephropathy (diagnosis);nephropathy nos;nephropathy, nos;renal disease;renal disease (diagnosis);renal disease nos;renal disease, nos;renal diseases;renal disorder;renal disorder (diagnosis);renal disorder nos;renal disorder, nos;renal disorders;renal disorders: nonspecific;renal; disease",magnesium,0.0,chemdis,cause,disease of kidney,1,"As the kidney is a major regulator of magnesium homeostasis, kidney disorders can potentially lead to both magnesium depletion and overload, and as such increase the risk of cardiovascular disease.",magnesium
160,"bone demineralized;bone density, low;bone loss;bone; loss;loss; bone;low bone densities;low bone mineral density;osteopaenia;osteopenia;osteopenia (diagnosis);osteopenia (disorder);osteopenia (morphologic abnormality);osteopenias",magnesium 2+,0.0,chemdis,cause,bone demineralized,1,We hypothesized that the increased urinary Ca2+ and Mg2+ excretion and bone loss that accompanies aldosteronism is aggravated with furosemide and is attenuated by spironolactone.,"magnesium 2+;magnesium cation;magnesium ion;magnesium ions;magnesium, ion(mg2+);mg(ii);mg++;mg++ element;mg+2;mg2+;mn 2+"
167,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",salt sodium,1.0,chemdis,cause,3-10 heart diseases: general terms,1,"Excessive dietary salt (sodium chloride and other sodium salts) is a major cause of increased blood pressure, which increases risk for stroke, heart disease, and kidney disease.",salt sodium;sodium salt;sodium salts;sodium salts (substance)
168,"disease of kidney;disease, kidney;diseases kidneys;diseases, kidney;disorder kidney;disorder of kidney;disorder renal;disorder;kidney;kidney dis;kidney disease;kidney disease (disorder);kidney disease nos;kidney disease nos (disorder);kidney disease, nos;kidney diseases;kidney disorder;kidney disorders;kidneys--diseases;nephrologic disease;nephropathies;nephropathy;nephropathy (diagnosis);nephropathy nos;nephropathy, nos;renal disease;renal disease (diagnosis);renal disease nos;renal disease, nos;renal diseases;renal disorder;renal disorder (diagnosis);renal disorder nos;renal disorder, nos;renal disorders;renal disorders: nonspecific;renal; disease",salt sodium,1.0,chemdis,cause,disease of kidney,1,"Excessive dietary salt (sodium chloride and other sodium salts) is a major cause of increased blood pressure, which increases risk for stroke, heart disease, and kidney disease.",salt sodium;sodium salt;sodium salts;sodium salts (substance)
169,stroke,salt sodium,1.0,chemdis,cause,stroke,1,"Excessive dietary salt (sodium chloride and other sodium salts) is a major cause of increased blood pressure, which increases risk for stroke, heart disease, and kidney disease.",salt sodium;sodium salt;sodium salts;sodium salts (substance)
170,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",simple carbohydrate,1.0,chemdis,cause,general cardiovascular disorders,4,"The present review article suggests that the consumption of a high-salt diet is not the cause of hypertension and that there are other factors, such as added sugars, which are causative for inducing hypertension and cardiovascular disease.___Despite strong indications that increased consumption of added sugars correlates with greater risks of developing cardiometabolic syndrome (CMS) and cardiovascular disease (CVD), independent of the caloric intake, the worldwide sugar consumption remains high.___A diet high in added sugars has been found to cause a 3-fold increased risk of death due to cardiovascular disease, but sugars, like saturated fats, are a diverse class of compounds.___Some investigators have argued that added sugars increase the risk of obesity, diabetes and cardiovascular disease.","simple carbohydrate;simple carbohydrate (substance);sugar (substance);sugar, nos;sugars"
171,cardiometabolic syndrome,simple carbohydrate,1.0,chemdis,cause,cardiometabolic syndrome,1,"Despite strong indications that increased consumption of added sugars correlates with greater risks of developing cardiometabolic syndrome (CMS) and cardiovascular disease (CVD), independent of the caloric intake, the worldwide sugar consumption remains high.","simple carbohydrate;simple carbohydrate (substance);sugar (substance);sugar, nos;sugars"
172,diabetes,simple carbohydrate,1.0,chemdis,cause,diabetes,1,"Some investigators have argued that added sugars increase the risk of obesity, diabetes and cardiovascular disease.","simple carbohydrate;simple carbohydrate (substance);sugar (substance);sugar, nos;sugars"
173,hypertension,simple carbohydrate,1.0,chemdis,cause,hypertension,1,"The present review article suggests that the consumption of a high-salt diet is not the cause of hypertension and that there are other factors, such as added sugars, which are causative for inducing hypertension and cardiovascular disease.","simple carbohydrate;simple carbohydrate (substance);sugar (substance);sugar, nos;sugars"
174,obesity,simple carbohydrate,1.0,chemdis,cause,obesity,1,"Some investigators have argued that added sugars increase the risk of obesity, diabetes and cardiovascular disease.","simple carbohydrate;simple carbohydrate (substance);sugar (substance);sugar, nos;sugars"
175,"3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",sodium,1.0,chemdis,cause,general cardiovascular disorders,2,"Both excessive sodium intake and obesity are risk factors for hypertension and cardiovascular disease.___Excess sodium intake can increase blood pressure, and high blood pressure is a major risk factor for cardiovascular disease.",sodium
176,"3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",sodium,1.0,chemdis,cause,3-10 heart diseases: general terms,2,"Excessive sodium consumption can result in hypertension, diabetes, heart diseases, stroke, and kidney diseases.___In the United States, tens of thousands of Americans die each year of heart disease, stroke, or other chronic conditions tied to hypertension from long-term overconsumption of sodium compounds.",sodium
