,term_1_umls_name,term_2_umls_name,sentence,term_1_umls_synonyms,term_2_umls_synonyms,pipeline,relation,evidence_count,Treat/Cause_str,is_correct,
222,vitamin d,"calcification, vascular","However, using vitamin D entails possible adverse risks of hypercalcemia, hyperphosphatemia, and vascular calcifications.___Both the high prevalence of vitamin D deficiency in the general population and the identification of the vitamin D receptor in the heart and blood vessels raised interest in the potential cardiovascular effects of vitamin D. Experimental studies have demonstrated various cardiovascular protective actions of vitamin D, but vitamin D intoxication in animals is known to induce vascular calcification.",vitamin d,"calcification, vascular;calcifications vascular;calcifications, vascular;calcinoses, vascular;calcinosis, vascular;vascular calcification;vascular calcification (disorder);vascular calcifications;vascular calcinoses;vascular calcinosis",chemdis,cause,2,cause,1,
223,vitamin d,"cardiomyopathies, dilated",We identified three infants with dilated cardiomyopathy (DCM) secondary to severe vitamin D deficieny and hypocalcaemia.,vitamin d,"cardiomyopathies, dilated;cardiomyopathy congestive;cardiomyopathy dilated;cardiomyopathy, dilated;cardiomyopathy; cardiomyopathy, dilated;cardiomyopathy;congestive;ccm - congestive cardiomyopath;ccm - congestive cardiomyopathy;cocm - congestive cardiomyop;cocm - congestive cardiomyopathy;cocm congestive (dilated) cardiomyopathy;congestive (dilated) cardiomyopathy;congestive cardiomyopathy (diagnosis);congestive cardiomyopathy (disorder);congestive dilated cardiomyopathy;dcm - dilated cardiomyopathy;dilated cardiomyopathies;dilated cardiomyopathy;dilated cardiomyopathy (diagnosis);heart; dilatation, cardiomyopathy;primary dilated cardiomyopathy;primary dilated cardiomyopathy (disorder);stretched and thinned heart muscle",chemdis,cause,1,cause,,
224,vitamin d,cognitive defects,"Low levels of serum 25-hydroxyvitamin D [25(OH)D], a stable marker of vitamin D status, are also associated with increased odds of prevalent cognitive dysfunction, Alzheimer's disease and all-cause dementia in a number of studies, raising the possibility that vitamin D plays a role in the aetiology of cognitive dysfunction and dementia.",vitamin d,"cognitive defects;cognitive disturbances;cognitive dysfunction;cognitive dysfunctions;cognitive function abnormal;cognitive impairment;cognitive impairments;disturbance in cognition;dysfunction, cognitive;dysfunctions, cognitive;impaired cognition;impaired cognition (finding);impairment, cognitive;impairment;cognitive;impairments, cognitive;neurocognitive disturbance;neurocognitive dysfunction",chemdis,cause,1,cause,,
227,vitamin d,hypercalcemia,"However, using vitamin D entails possible adverse risks of hypercalcemia, hyperphosphatemia, and vascular calcifications.",vitamin d,hypercalcemia,chemdis,cause,1,cause,1,
229,vitamin d,thrombosis,"Hyperinsulinaemia decreases cholesterol sulfurylation to cholesterol sulfate, as low vitamin D regulation due to magnesium depletion and/or vitamin D sequestration and/or diminished activation capacity decreases sulfotransferase enzyme SULT2B1b activity, consequently decreasing plasma membrane negative charge between red blood cells, platelets and endothelial cells, thus increasing agglutination and thrombosis.",vitamin d,thrombosis,chemdis,cause,1,cause,,
231,vitamin e,atherosclerosis,High doses of vitamin E may confer an increased risk of calcified atherosclerosis.,vitamin e,atherosclerosis,chemdis,cause,1,cause,1,
232,vitamin e,heart failure,"Yet, high doses of supplemental vitamin E have been associated with an elevated risk of heart failure and all-cause mortality.___Vitamin E supplementation might be associated with an increase in total mortality, heart failure, and hemorrhagic stroke.",vitamin e,heart failure,chemdis,cause,2,cause,1,
233,vitamin k,37 hemorrhages,"Factors that interrupted INR control in our population, arranged in descending sequence, were concurrent medication use 46.9% (mainly Salicylates and Amiodarone), smoking cigarettes and shisha 17% (represented the most frequent single factor that caused non-TINR in the present study), a nonbalanced dietary vitamin K intake 16.88% caused changes in INR (lower) was related to an increase in the intake of vitamin K-rich food, were noticed to be much more in the spring season in Jordan (end of March and April mainly), herbal supplements 15.02%; Hawthorn (Crataegus, الزعرور) is an herb that lives widely in Jordan, and shockingly we found that it is used very commonly in our ACC patients and corresponded to an elevated INR <8 in 11 patients, and serious bleeding events that required hospitalization in 2 cases), noncompliance 1.49%, comorbid diseases 1%, malabsorption 0.53%, alcohol intake 0.39%, and VKORC1 A/G and CYP2C9 *1*1 genotype 0.15%.",vitamin k,"37 hemorrhages;bleed;bleed_nos;bleed_nos problem;bleeding;bleeding (disorder);bleeding (finding);bleeding (symptom);bleeding -retired-;bleeding hemorrhage;bleeding problem;bleeding site unspecified;bleeding, nos;bleeding/haemorrhage nos;bleeding/hemorrhage nos;bleeds;blood loss of (nos);blood; extravasation;extravasation blood;extravasation of blood;extravasation; blood;haemorrhage;haemorrhage nos;haemorrhage nos (disorder);haemorrhage, nos;haemorrhage, unspecified;haemorrhages;hem;hemorrhage;hemorrhage (diagnosis);hemorrhage (morphologic abnormality);hemorrhage (nos);hemorrhage bleeding;hemorrhage nos;hemorrhage nos (disorder);hemorrhage, nos;hemorrhage, unspecified;hemorrhages",chemdis,cause,1,cause,,
234,acid fatty trans,3-10 heart diseases: general terms,In the early 1990s it was shown that trans fatty acids increase the risk of heart disease.,"acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids","3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",foodis,cause,1,cause,1,
235,acid fatty trans,coronary heart disease,Current scientific evidence indicates that consumption of industrial trans fatty acids (TFA) produced via partial hydrogenation of vegetable oils increases the risk of coronary heart disease.___Some data indicate that consumption of trans fatty acids increases the risk of coronary heart disease (CHD).___High consumption of trans fat has been linked to the risk of coronary heart disease (CHD).,"acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids",coronary heart disease,foodis,cause,3,cause,1,
236,acid fatty trans,obesity,"Saturated and trans fatty acids have been implicated in obesity, heart disease, diabetes and cancer while polyunsaturated fatty acids (PUFAs) generally have a positive effect on health.","acid fatty trans;acid trans fatty;acid, trans fatty;acids fatty tran;acids fatty trans;acids trans-fatty;acids, trans fatty;acids, trans-fatty;fatty acid, trans;fatty acids, trans;trans fat;trans fat (substance);trans fats;trans fatty acid;trans fatty acids;trans-fatty acids",obesity,foodis,cause,1,cause,1,
237,"acid, saturated fatty",3-00 cardiovascular disorders: general terms,"Although livestock products are a source of some essential nutrients, they provide large amounts of saturated fat, which is a known risk factor for cardiovascular disease.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",foodis,cause,1,cause,1,
238,"acid, saturated fatty",3-10 heart diseases: general terms,"It is also a source of saturated fatty acids, which observational evidence suggests are associated with heart disease, although recent data challenge this.___Meat consumption has been related to a higher risk of heart disease due to its saturated fat content.___"" What we actually know is that: red meat consumption is an order of magnitude higher now than through most of human history; red meat is a probable, and processed meat is a definite, human carcinogen; saturated fat increases risk of heart disease; and vegans and vegetarians have better lipid profiles, lower risk of chronic disease, and greater longevity than meat eaters.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",foodis,cause,3,cause,1,
239,"acid, saturated fatty",angiopathy,"Elevated serum cholesterol, a major cause of vascular disease, has been strongly correlated with eating greater than normal amounts of cholesterol and saturated fatty acids.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","angiopathy;angiopathy, nos;blood vessel disease;blood vessel disorder;blood vessels; disorder;blood-vessels--diseases;disease (or disorder); blood vessels;disease (or disorder); vascular;disease, vascular;diseases, vascular;disorder of blood vessel;disorder of blood vessel (disorder);disorder vascular;disorder; vascular;section 3-8 vascular diseases;unspecified vascular problem;vasc;vascular (extracardiac) disorders;vascular dis;vascular disease;vascular disease (disorder);vascular disease or syndrome;vascular disease, nos;vascular diseases;vascular diseases and syndromes;vascular disorder;vascular disorder nos;vascular disorder, nos;vascular disorders;vascular problem;vascular problem, nos;vascular system disorders;vascular system disorders (diagnosis);vascular; disorder;vascular_nos;vascular_nos problem;vasculopathy",foodis,cause,1,cause,1,
240,"acid, saturated fatty","arterioscleroses, coronary","Similarly, dietary saturated fat has been implicated in the development of coronary atherosclerosis while polyunsaturated fatty acids are reported to provide protection.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids","arterioscleroses, coronary;arteriosclerosis coronary artery;arteriosclerosis, coronary;arteriosclerosis; coronary;arteriosclerosis; coronary (artery);arteriosclerosis; heart;arteriosclerotic coronary artery disease;arteriosclerotic heart disease;ashd;ashd - atherosclerotic heart disease;atheroscleroses, coronary;atherosclerosis coronary artery;atherosclerosis of coronary artery;atherosclerosis of coronary artery (diagnosis);atherosclerosis of coronary artery (disorder);atherosclerosis of native coronary artery;atherosclerosis, coronary;atherosclerotic coronary vascular disease;atherosclerotic heart disease;atherosclerotic heart disease nos;cardiac sclerosis;cardiac; sclerosis;coronary (artery) atherosclerosis;coronary (artery) sclerosis;coronary arterioscleroses;coronary arteriosclerosis;coronary arteriosclerosis (diagnosis);coronary arteriosclerosis (disorder);coronary artery arteriosclerosis;coronary artery atherosclerosis;coronary artery sclerosis;coronary atheroscleroses;coronary atherosclerosis;coronary atherosclerosis (disorder);coronary atherosclerotic heart disease;coronary sclerosis;coronary; arteriosclerosis;coronary; sclerosis;disease (or disorder); arteriosclerotic, coronary (artery);disease (or disorder); arteriosclerotic, heart;disease;atherosclerotic;heart;heart; arteriosclerosis;obsolete coronary atherosclerosis;plaque build-up in arteries supplying blood to heart;sclerosis; cardiac;sclerosis; coronary",foodis,cause,1,cause,1,
241,"acid, saturated fatty",coronary heart disease,"Saturated fatty acids and trans fats are associated with an increased risk of coronary heart disease.___It has been thought, particularly by consumers, that dairy fats may increase the risk of coronary heart disease because of the contribution they make to total saturated fat intake.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids",coronary heart disease,foodis,cause,2,cause,1,
242,"acid, saturated fatty",dysfunction endothelial,"Cardiovascular risk factors are known to exacerbate high-saturated fatty acid meal (HSFAM)-induced endothelial dysfunction, but the influence of subclinical metabolic dysregulations and the acute impact of a single mixed Mediterranean-type meal (MMM) remains unknown.","acid, saturated fatty;acids fatty saturated;fat saturated;fats saturated;fatty acid, saturated;fatty acids, saturated;fatty acids.saturated;saturated fat;saturated fat (substance);saturated fatty acid;saturated fatty acid (substance);saturated fatty acid, nos;saturated fatty acids",dysfunction endothelial;dysfunctions endothelial;endothelial dysfunction,foodis,cause,1,cause,0,
243,calorie foods high,adiposity,"As people in both developed and developing countries eat more and more energy dense food, and have ever less physical activity, the number of overweight and obese people increases to epidemic proportions.",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),"adiposity;having too much body fat;obese;obese (finding);obesities;obesity (diagnosis);obesity (disorder);obesity [ambiguous];obesity nos;obesity, nos;obesity, unspecified",foodis,cause,1,cause,1,
244,calorie foods high,atherosclerosis,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),atherosclerosis,foodis,cause,1,cause,1,
245,calorie foods high,body fails to respond to insulin,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),"body fails to respond to insulin;drug resistance to insulin;drug resistance to insulin (disorder);insulin resistance;insulin resistance (diagnosis);insulin resistance (disorder);resistance, insulin",foodis,cause,1,cause,1,
246,calorie foods high,clinical overweight,"As people in both developed and developing countries eat more and more energy dense food, and have ever less physical activity, the number of overweight and obese people increases to epidemic proportions.",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),clinical overweight;over weight;overweight;overweight (bmi 25-30);overweight (bmi <30);overweight (bmi<30);overweight (diagnosis);overweight (finding);overweight (physical finding);patient overweight,foodis,cause,1,cause,1,
247,calorie foods high,diabetes,"Due to the consumption of energy dense food (i.e. unhealthy food habits), sedentary life style, lack of health care services and financial support, the developing countries are facing high risk of obesity and their adverse consequences (i.e. diabetes, ischemic heart disease, etc).",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),diabetes,foodis,cause,1,cause,1,
248,calorie foods high,dyslipidaemia,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),dyslipidaemia;dyslipidemia;dyslipidemia (diagnosis);dyslipidemia (disorder);dyslipidemias;high blood cholesterol/triglycerides,foodis,cause,1,cause,1,
249,calorie foods high,hypertension,"Obesity is significantly increasing worldwide because of increased high calorie food intake and decreased physical activity leading to hypertension, dyslipidemia, atherosclerosis, and insulin resistance.",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),hypertension,foodis,cause,1,cause,1,
250,calorie foods high,ischemic heart disease,"Due to the consumption of energy dense food (i.e. unhealthy food habits), sedentary life style, lack of health care services and financial support, the developing countries are facing high risk of obesity and their adverse consequences (i.e. diabetes, ischemic heart disease, etc).",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),ischemic heart disease,foodis,cause,1,cause,1,
251,calorie foods high,obesity,"Due to the consumption of energy dense food (i.e. unhealthy food habits), sedentary life style, lack of health care services and financial support, the developing countries are facing high risk of obesity and their adverse consequences (i.e. diabetes, ischemic heart disease, etc).",calorie foods high;energy dense food;energy foods high;high calorie food;high energy food;high energy food (substance),obesity,foodis,cause,1,cause,1,
252,"chloride, dietary sodium",3-00 cardiovascular disorders: general terms,"The present review article suggests that the consumption of a high-salt diet is not the cause of hypertension and that there are other factors, such as added sugars, which are causative for inducing hypertension and cardiovascular disease.___Most populations are consuming too much salt which is the main contributor of high blood pressure, a leading risk factor of cardiovascular disease and stroke.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt","3-00 cardiovascular disorders: general terms;[x]cardiovasc disease,unspecif;[x]cardiovascular disease, unspecified;[x]cardiovascular disease, unspecified (disorder);cardiovasc dis;cardiovasc disease,unspecif;cardiovascular disease;cardiovascular disease (cvd);cardiovascular disease, nos;cardiovascular disease, unspecified;cardiovascular diseases;cardiovascular disorder;cardiovascular disorder (nos);cardiovascular disorder nos;cardiovascular disorder, nos;cardiovascular disorders;cardiovascular disorders (diagnosis);cardiovascular disorders, general;cardiovascular disorders: general terms;cardiovascular system disease;cardiovascular system diseases;cardiovascular system--diseases;cardiovascular; disorder;chapter 3 diseases of the cardiovascular system;cv disorders;cvd - cardiovascular disease;cvd, nos;cvs - cardiovascular system diseases;cvs disease;cvs disease - cardiovascular system disease;cvs disorders nos;disease (or disorder); cardiovascular;disease of cardiovascular system;disease of cardiovascular system (disorder);disease of cardiovascular system, nos;disease or syndrome of cardiovascular system;disease, cardiovascular;disease;cardiovascular;diseases affecting the entire cardiovascular system;diseases and syndromes of cardiovascular system;diseases of the cardiovascular system;diseases, cardiovascular;disorder cardiovascular (nos);disorder of cardiovascular system;disorder of cardiovascular system (disorder);general cardiovascular system diseases and syndromes;section 3-0 diseases affecting the entire cardiovascular system",foodis,cause,2,cause,1,
253,"chloride, dietary sodium",3-10 heart diseases: general terms,"Excessive dietary salt (sodium chloride and other sodium salts) is a major cause of increased blood pressure, which increases risk for stroke, heart disease, and kidney disease.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt","3-10 heart diseases: general terms;cardiac dis;cardiac disease;cardiac diseases;cardiac disorder;cardiac disorder nos;cardiac disorders;cardiopathies;cardiopathy;cardiopathy, nos;cordis; morbus;disease cardiac;disease disorders heart;disease hearts;disease or syndrome of heart;disease;heart;diseases and syndromes of heart;diseases disorders heart;diseases of the heart;disorder cardiac (nos);disorder heart;disorder of heart;heart dis;heart disease;heart disease (diagnosis);heart disease (disorder);heart disease disorder;heart disease nos;heart disease nos (disorder);heart disease, nos;heart disease, unspecified;heart diseases;heart diseases: general terms;heart disorder;heart disorders;heart--diseases;morbus cordis;morbus cordis nos;morbus cordis, nos;morbus; cordis;rndx cardiac;rndx cardiac (diagnosis);section 3-1 heart diseases;syndrome heart disease;unspecified heart problem",foodis,cause,1,cause,1,
254,"chloride, dietary sodium",atherogenic dyslipidaemia,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",atherogenic dyslipidaemia;atherogenic dyslipidemia,foodis,cause,1,cause,1,
255,"chloride, dietary sodium",atherosclerosis,"Risk factors for atherosclerosis related to nutrition are hypercholesterolemia, hyperglycemia-diabetes, and for hypertension, obesity, high salt intake, and excessive use of alcohol.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",atherosclerosis,foodis,cause,1,cause,1,
256,"chloride, dietary sodium",cardiac congestive failure,"Congestive heart failure (CHF) is a clinical syndrome that features a failing heart together with signs and symptoms arising from renal retention of salt and water, mediated by attendant neurohormonal activation, and which prominently includes the renin-angiotensin-aldosterone system.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt","cardiac congestive failure;cardiac failure congestive;cardiac failure, congestive;ccf - congestive cardiac fail;ccf - congestive cardiac failure;chf;chf (congestive heart failure);chf - congestive heart failure;chf nos;congestive cardiac fail;congestive cardiac failure;congestive disease heart;congestive diseases heart;congestive failure heart;congestive failure hearts;congestive failures heart;congestive heart disease;congestive heart failure;congestive heart failure (chf);congestive heart failure (diagnosis);congestive heart failure (disorder);congestive heart failure chf;congestive heart failure nos;congestive heart failure, unspecified;congestive; heart;congetive cardiac failure;disease congestive heart;failure congestive heart;failure heart congestive;failure; heart, congestive;failure;congestive cardiac;heart congestive failure;heart failure congestive;heart failure, congestive;heart failure/congestive heart failure;heart failure; congestive;heart; congestive;heart; disease, congestive",foodis,cause,1,cause,1,
257,"chloride, dietary sodium","cardiovascular syndrome, metabolic","A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt","cardiovascular syndrome, metabolic;cardiovascular syndromes, metabolic;dysmetabolic syndrome x;dysmetabolic syndrome x (diagnosis);equine metabolic syndrome;insulin resistance syndrome x;metabolic cardiovascular syndrome;metabolic syndrome;metabolic syndrome x;metabolic syndrome x (disorder);metabolic syndromes;metabolic x syndrome;reaven syndrome x;reaven's syndrome;syndrome metabolic;syndrome x (metabolic);syndrome x insulin resistance;syndrome x, dysmetabolic;syndrome x, insulin resistance;syndrome x, metabolic;syndrome x, reaven;syndrome, metabolic;syndrome, metabolic cardiovascular;syndrome, metabolic x;syndromes, metabolic;x syndrome, metabolic",foodis,cause,1,cause,1,
258,"chloride, dietary sodium",coronary heart disease,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",coronary heart disease,foodis,cause,1,cause,1,
259,"chloride, dietary sodium",diabetes,"Patients with smell impairment are reported to use larger quantities of sugar and salt to highlight flavours, thus worsening their general health condition and increasing the risk of developing diabetes and hypertension.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",diabetes,foodis,cause,1,cause,1,
260,"chloride, dietary sodium",disease of kidney,"Excessive dietary salt (sodium chloride and other sodium salts) is a major cause of increased blood pressure, which increases risk for stroke, heart disease, and kidney disease.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt","disease of kidney;disease, kidney;diseases kidneys;diseases, kidney;disorder kidney;disorder of kidney;disorder renal;disorder;kidney;kidney dis;kidney disease;kidney disease (disorder);kidney disease nos;kidney disease nos (disorder);kidney disease, nos;kidney diseases;kidney disorder;kidney disorders;kidneys--diseases;nephrologic disease;nephropathies;nephropathy;nephropathy (diagnosis);nephropathy nos;nephropathy, nos;renal disease;renal disease (diagnosis);renal disease nos;renal disease, nos;renal diseases;renal disorder;renal disorder (diagnosis);renal disorder nos;renal disorder, nos;renal disorders;renal disorders: nonspecific;renal; disease",foodis,cause,1,cause,1,
261,"chloride, dietary sodium",heart failure,"In patients who already have heart failure, a high salt intake aggravates the retention of salt and water, thereby exacerbating heart failure symptoms and progression of the disease.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",heart failure,foodis,cause,1,cause,1,
262,"chloride, dietary sodium",hypertension,"For decades the notion that an excessive consumption of salt (NaCl) leads to hypertension has persisted.___Patients with smell impairment are reported to use larger quantities of sugar and salt to highlight flavours, thus worsening their general health condition and increasing the risk of developing diabetes and hypertension.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",hypertension,foodis,cause,2,cause,1,
263,"chloride, dietary sodium",inflamm,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt","inflamm;inflammation;inflammation (morphologic abnormality);inflammation (qualifier value);inflammation nos;inflammation, nos;inflammations;inflammatory reaction;inflammatory reaction, nos",foodis,cause,1,cause,1,
264,"chloride, dietary sodium",obesity,"A decreasing intake of coarse cereals, pulses, fruits and vegetables, an increasing intake of meat products and salt, coupled with declining levels of physical activity due to rapid urbanization have resulted in escalating levels of obesity, atherogenic dyslipidemia, subclinical inflammation, metabolic syndrome, type 2 diabetes mellitus, and coronary heart disease in Indians.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",obesity,foodis,cause,1,cause,1,
265,"chloride, dietary sodium",stroke,"Most populations are consuming too much salt which is the main contributor of high blood pressure, a leading risk factor of cardiovascular disease and stroke.___Excessive dietary salt (sodium chloride and other sodium salts) is a major cause of increased blood pressure, which increases risk for stroke, heart disease, and kidney disease.","chloride, dietary sodium;dietary salt;dietary salt (sodium chloride);dietary sodium chloride;salt;salt, table;sodium chloride, dietary;table salt",stroke,foodis,cause,2,cause,1,
